Designator,Mid X,Mid Y,Rotation,Layer
C1,307.6725,59.585,180.0,bottom
C10,355.3225,92.515,270.0,bottom
C11,346.5975,92.415,270.0,bottom
C2,313.1225,60.96,0.0,bottom
C3,309.5925,71.3725,180.0,bottom
C4,310.5225,60.41,270.0,bottom
C5,305.7625,59.5725,0.0,bottom
C6,312.5925,62.8225,90.0,bottom
C7,301.1725,68.74,270.0,bottom
C8,300.1725,86.96,90.0,bottom
C9,295.7225,86.91,90.0,bottom
D1,29.04,96.93,90.0,bottom
D10,200.49,96.93,90.0,bottom
D11,219.54,96.93,90.0,bottom
D12,238.59,96.93,90.0,bottom
D13,257.64,96.93,90.0,bottom
D14,286.215,96.93,90.0,bottom
D15,319.5525,96.93,90.0,bottom
D16,338.6025,96.93,90.0,bottom
D17,357.6525,96.93,90.0,bottom
D18,33.8025,77.88,90.0,bottom
D19,57.615,77.88,90.0,bottom
D2,48.09,96.93,90.0,bottom
D20,76.665,77.88,90.0,bottom
D21,95.715,77.88,90.0,bottom
D22,114.765,77.88,90.0,bottom
D23,133.815,77.88,90.0,bottom
D24,152.865,77.88,90.0,bottom
D25,171.915,77.88,90.0,bottom
D26,190.965,77.88,90.0,bottom
D27,210.015,77.88,90.0,bottom
D28,229.065,77.88,90.0,bottom
D29,248.115,77.88,90.0,bottom
D3,67.14,96.93,90.0,bottom
D30,267.165,77.88,90.0,bottom
D31,290.9775,77.88,90.0,bottom
D32,319.5525,77.88,90.0,bottom
D33,338.6025,77.88,90.0,bottom
D34,357.6525,77.88,90.0,bottom
D35,31.42125,58.83,90.0,bottom
D36,62.3775,58.83,90.0,bottom
D37,81.4275,58.83,90.0,bottom
D38,100.4775,58.83,90.0,bottom
D39,119.5275,58.83,90.0,bottom
D4,86.19,96.93,90.0,bottom
D40,138.5775,58.83,90.0,bottom
D41,157.6275,58.83,90.0,bottom
D42,176.6775,58.83,90.0,bottom
D43,195.7275,58.83,90.0,bottom
D44,214.7775,58.83,90.0,bottom
D45,233.8275,58.83,90.0,bottom
D46,252.8775,58.83,90.0,bottom
D47,283.83375,58.83,90.0,bottom
D48,40.94625,39.78,90.0,bottom
D49,71.9025,39.78,90.0,bottom
D5,105.24,96.93,90.0,bottom
D50,90.9525,39.78,90.0,bottom
D51,110.0025,39.78,90.0,bottom
D52,129.0525,39.78,90.0,bottom
D53,148.1025,39.78,90.0,bottom
D54,167.1525,39.78,90.0,bottom
D55,186.2025,39.78,90.0,bottom
D56,205.2525,39.78,90.0,bottom
D57,224.3025,39.78,90.0,bottom
D58,243.3525,39.78,90.0,bottom
D59,279.07125,39.78,90.0,bottom
D6,124.29,96.93,90.0,bottom
D60,338.6025,39.78,90.0,bottom
D61,33.8025,20.73,90.0,bottom
D62,57.615,20.73,90.0,bottom
D63,81.4275,20.73,90.0,bottom
D64,162.39,20.73,90.0,bottom
D65,243.3525,20.73,90.0,bottom
D66,267.165,20.73,90.0,bottom
D67,290.9775,20.73,90.0,bottom
D68,319.5525,20.73,90.0,bottom
D69,338.6025,20.73,90.0,bottom
D7,143.34,96.93,90.0,bottom
D70,357.6525,20.73,90.0,bottom
D8,162.39,96.93,90.0,bottom
D9,181.44,96.93,90.0,bottom
J1,301.66,78.76,90.0,bottom
R1,313.9475,63.825001,270.0,bottom
SW1,22.36,99.96,180.0,bottom
SW10,193.81,99.96,180.0,bottom
SW11,212.86,99.96,180.0,bottom
SW12,231.91,99.96,180.0,bottom
SW13,250.96,99.96,180.0,bottom
SW14,279.535,99.96,180.0,bottom
SW15,312.8725,99.96,180.0,bottom
SW16,331.9225,99.96,180.0,bottom
SW17,350.9725,99.96,180.0,bottom
SW18,27.1225,80.91,180.0,bottom
SW19,50.935,80.91,180.0,bottom
SW2,41.41,99.96,180.0,bottom
SW20,69.985,80.91,180.0,bottom
SW21,89.035,80.91,180.0,bottom
SW22,108.085,80.91,180.0,bottom
SW23,127.135,80.91,180.0,bottom
SW24,146.185,80.91,180.0,bottom
SW25,165.235,80.91,180.0,bottom
SW26,184.285,80.91,180.0,bottom
SW27,203.335,80.91,180.0,bottom
SW28,222.385,80.91,180.0,bottom
SW29,241.435,80.91,180.0,bottom
SW3,60.46,99.96,180.0,bottom
SW30,260.485,80.91,180.0,bottom
SW31,284.2975,80.91,180.0,bottom
SW32,312.8725,80.91,180.0,bottom
SW33,331.9225,80.91,180.0,bottom
SW34,350.9725,80.91,180.0,bottom
SW35,24.74125,61.86,180.0,bottom
SW36,55.6975,61.86,180.0,bottom
SW37,74.7475,61.86,180.0,bottom
SW38,93.7975,61.86,180.0,bottom
SW39,112.8475,61.86,180.0,bottom
SW4,79.51,99.96,180.0,bottom
SW40,131.8975,61.86,180.0,bottom
SW41,150.9475,61.86,180.0,bottom
SW42,169.9975,61.86,180.0,bottom
SW43,189.0475,61.86,180.0,bottom
SW44,208.0975,61.86,180.0,bottom
SW45,227.1475,61.86,180.0,bottom
SW46,246.1975,61.86,180.0,bottom
SW47,277.15375,61.86,180.0,bottom
SW48,34.26625,42.81,180.0,bottom
SW49,65.2225,42.81,180.0,bottom
SW5,98.56,99.96,180.0,bottom
SW50,84.2725,42.81,180.0,bottom
SW51,103.3225,42.81,180.0,bottom
SW52,122.3725,42.81,180.0,bottom
SW53,141.4225,42.81,180.0,bottom
SW54,160.4725,42.81,180.0,bottom
SW55,179.5225,42.81,180.0,bottom
SW56,198.5725,42.81,180.0,bottom
SW57,217.6225,42.81,180.0,bottom
SW58,236.6725,42.81,180.0,bottom
SW59,272.39125,42.81,180.0,bottom
SW6,117.61,99.96,180.0,bottom
SW60,331.9225,42.81,180.0,bottom
SW61,27.1225,23.76,180.0,bottom
SW62,50.935,23.76,180.0,bottom
SW63,74.7475,23.76,180.0,bottom
SW64,155.71,23.76,180.0,bottom
SW65,236.6725,23.76,180.0,bottom
SW66,260.485,23.76,180.0,bottom
SW67,284.2975,23.76,180.0,bottom
SW68,312.8725,23.76,180.0,bottom
SW69,331.9225,23.76,180.0,bottom
SW7,136.66,99.96,180.0,bottom
SW70,350.9725,23.76,180.0,bottom
SW71,321.1725,59.76,180.0,bottom
SW73,351.0225,99.96,0.0,top
SW8,155.71,99.96,180.0,bottom
SW9,174.76,99.96,180.0,bottom
U1,306.7925,65.6725,0.0,bottom
U2,297.9725,87.16,270.0,bottom
